x1 x2 v a psi kappa t
-1.609982 0.992871 1.120000 0.000000 1.699113 -0.637000 1.821429
-1.611261 1.002789 1.120000 0.000000 1.692743 -0.624000 1.830357
-1.612478 1.012715 1.120000 0.000000 1.686503 -0.611000 1.839286
-1.613632 1.022648 1.120000 0.000000 1.680393 -0.598000 1.848214
-1.614726 1.032588 1.120000 0.000000 1.674413 -0.585000 1.857143
-1.615760 1.042534 1.120000 0.000000 1.668563 -0.572000 1.866071
-1.616736 1.052486 1.120000 0.000000 1.662843 -0.559000 1.875000
-1.617656 1.062444 1.120000 0.000000 1.657253 -0.546000 1.883929
-1.618519 1.072407 1.120000 0.000000 1.651793 -0.533000 1.892857
-1.619328 1.082374 1.120000 0.000000 1.646463 -0.520000 1.901786
-1.620084 1.092345 1.120000 0.000000 1.641263 -0.507000 1.910714
-1.620788 1.102321 1.120000 0.000000 1.636193 -0.494000 1.919643
-1.621442 1.112299 1.120000 0.000000 1.631253 -0.481000 1.928571
-1.622046 1.122281 1.120000 0.000000 1.626443 -0.468000 1.937500
-1.622602 1.132265 1.120000 0.000000 1.621763 -0.455000 1.946429
-1.623112 1.142252 1.120000 0.000000 1.617213 -0.442000 1.955357
-1.623576 1.152242 1.120000 0.000000 1.612793 -0.429000 1.964286
-1.623995 1.162233 1.120000 0.000000 1.608503 -0.416000 1.973214
-1.624372 1.172226 1.120000 0.000000 1.604343 -0.403000 1.982143
-1.624708 1.182220 1.120000 0.000000 1.600313 -0.390000 1.991071
-1.625003 1.192216 1.120000 0.000000 1.596413 -0.377000 2.000000
-1.625259 1.202212 1.120000 0.000000 1.592643 -0.364000 2.008929
-1.625477 1.212210 1.120000 0.000000 1.589003 -0.351000 2.017857
-1.625659 1.222208 1.120000 0.000000 1.585493 -0.338000 2.026786
-1.625806 1.232207 1.120000 0.000000 1.582113 -0.325000 2.035714
-1.625920 1.242207 1.120000 0.000000 1.578863 -0.312000 2.044643
-1.626000 1.252206 1.120000 0.000000 1.575743 -0.299000 2.053571
-1.626050 1.262206 1.120000 0.000000 1.572753 -0.286000 2.062500
-1.626069 1.272206 1.120000 0.000000 1.569893 -0.273000 2.071429
-1.626069 1.282206 1.120000 0.000000 1.570796 0.000000 2.080357
-1.626069 1.292206 1.120000 0.000000 1.570796 0.000000 2.089286
-1.626069 1.302206 1.120000 0.000000 1.570796 0.000000 2.098214
-1.626069 1.312206 1.120000 0.000000 1.570796 0.000000 2.107143
-1.626069 1.322206 1.120000 0.000000 1.570796 0.000000 2.116071
-1.626069 1.332206 1.120000 0.000000 1.570796 0.000000 2.125000
-1.626069 1.342206 1.120000 0.000000 1.570796 0.000000 2.133929
-1.626069 1.352206 1.120000 0.000000 1.570796 0.000000 2.142857
-1.626069 1.362206 1.120000 0.000000 1.570796 0.000000 2.151786
-1.626069 1.372206 1.120000 0.000000 1.570796 0.000000 2.160714
-1.626069 1.382206 1.120000 0.000000 1.570796 0.000000 2.169643
-1.626069 1.392206 1.120000 0.000000 1.570796 0.000000 2.178571
-1.626069 1.402206 1.120000 0.000000 1.570796 0.000000 2.187500
-1.626069 1.412206 1.120000 0.000000 1.570796 0.000000 2.196429
-1.626069 1.422206 1.120000 0.000000 1.570796 0.000000 2.205357
-1.626069 1.432206 1.120000 0.000000 1.570796 0.000000 2.214286
-1.626069 1.442206 1.120000 0.000000 1.570796 0.000000 2.223214
-1.626069 1.452206 1.120000 0.000000 1.570796 0.000000 2.232143
-1.626069 1.462206 1.120000 0.000000 1.570796 0.000000 2.241071
-1.626069 1.472206 1.120000 0.000000 1.570796 0.000000 2.250000
-1.626069 1.482206 1.120000 0.000000 1.570796 0.000000 2.258929
-1.626069 1.492206 1.120000 0.000000 1.570796 0.000000 2.267857
-1.626069 1.502206 1.120000 0.000000 1.570796 0.000000 2.276786
-1.626069 1.512206 1.120000 0.000000 1.570796 0.000000 2.285714
-1.626069 1.522206 1.120000 0.000000 1.570796 0.000000 2.294643
-1.626069 1.532206 1.120000 0.000000 1.570796 0.000000 2.303571
-1.626069 1.542206 1.120000 0.000000 1.570796 0.000000 2.312500
-1.626069 1.552206 1.120000 0.000000 1.570796 0.000000 2.321429
-1.626069 1.562206 1.120000 0.000000 1.570796 0.000000 2.330357
-1.626069 1.572206 1.120000 0.000000 1.570796 0.000000 2.339286
-1.626069 1.582206 1.120000 0.000000 1.570796 0.000000 2.348214
-1.626069 1.592206 1.120000 0.000000 1.570796 -0.050000 2.357143
-1.626069 1.602206 1.120000 0.000000 1.570296 -0.100000 2.366071
-1.626064 1.612206 1.120000 0.000000 1.569296 -0.150000 2.375000
-1.626049 1.622206 1.120000 0.000000 1.567796 -0.200000 2.383929
